pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Upper East Side South,7346
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Eltingville/Annadale/Prince's Bay,3
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Upper West Side North,2599
Manhattan,SoHo,Manhattan-Queens,SoHo-Bayside,19
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Manhattan Beach,13
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Port Richmond,1
Manhattan,SoHo,Manhattan-Queens,SoHo-Ridgewood,470
Manhattan,SoHo,Manhattan-Queens,SoHo-Flushing Meadows-Corona Park,26
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Lincoln Square East,5149
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Bloomingdale,465
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bay Ridge,535
Manhattan,SoHo,Manhattan-Bronx,SoHo-Williamsbridge/Olinville,12
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Coney Island,42
Manhattan,SoHo,Manhattan-Queens,SoHo-Glen Oaks,2
Manhattan,SoHo,Manhattan-Queens,SoHo-Forest Park/Highland Park,3
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-South Williamsburg,239
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Lenox Hill East,2989
Manhattan,SoHo,Manhattan-Manhattan,SoHo-East Harlem North,658
Manhattan,SoHo,Manhattan-Bronx,SoHo-East Concourse/Concourse Village,47
Manhattan,SoHo,Manhattan-Manhattan,SoHo-East Harlem South,1002
Manhattan,SoHo,Manhattan-Queens,SoHo-Long Island City/Hunters Point,841
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Starrett City,3
Manhattan,SoHo,Manhattan-Bronx,SoHo-Highbridge,21
Manhattan,SoHo,Manhattan-Queens,SoHo-Corona,103
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Midtown South,13517
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Dyker Heights,101
Manhattan,SoHo,Manhattan-Bronx,SoHo-Bronxdale,26
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bushwick South,1544
Manhattan,SoHo,Manhattan-Queens,SoHo-Long Island City/Queens Plaza,271
Manhattan,SoHo,Manhattan-Queens,SoHo-Springfield Gardens South,13
Manhattan,SoHo,Manhattan-Bronx,SoHo-West Concourse,42
Manhattan,SoHo,Manhattan-Queens,SoHo-College Point,17
Manhattan,SoHo,Manhattan-Queens,SoHo-Kew Gardens,44
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Penn Station/Madison Sq West,16861
Manhattan,SoHo,Manhattan-Queens,SoHo-Fresh Meadows,11
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Windsor Terrace,361
Manhattan,SoHo,Manhattan-Staten Island,SoHo-South Beach/Dongan Hills,11
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Upper West Side South,3664
Manhattan,Inwood,Manhattan-Brooklyn,Inwood-Flatlands,1
Manhattan,Inwood,Manhattan-Queens,Inwood-Maspeth,2
Manhattan,Inwood,Manhattan-Queens,Inwood-Howard Beach,1
Manhattan,Inwood,Manhattan-Brooklyn,Inwood-Brooklyn Heights,2
Manhattan,Inwood,Manhattan-Manhattan,Inwood-East Harlem North,134
Manhattan,Inwood,Manhattan-Bronx,Inwood-Riverdale/North Riverdale/Fieldston,121
