pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
EWR,2016-06-24,Friday,4,7
Bronx,2016-06-22,Wednesday,9,15
Bronx,2016-06-21,Tuesday,18,10
Queens,2016-06-26,Sunday,1,514
Bronx,2016-06-20,Monday,19,7
Queens,2016-06-21,Tuesday,0,545
Queens,2016-06-24,Friday,0,1155
Brooklyn,2016-06-20,Monday,3,106
Queens,2016-06-24,Friday,17,1316
Manhattan,2016-06-23,Thursday,14,17934
Queens,2016-06-23,Thursday,9,881
Bronx,2016-06-23,Thursday,8,12
Manhattan,2016-06-20,Monday,0,6541
Bronx,2016-06-26,Sunday,10,9
Manhattan,2016-06-22,Wednesday,12,17888
Manhattan,2016-06-22,Wednesday,20,19414
Queens,2016-06-24,Friday,18,1460
Brooklyn,2016-06-25,Saturday,17,230
EWR,2016-06-21,Tuesday,4,2
Manhattan,2016-06-25,Saturday,13,17811
Queens,2016-06-25,Saturday,3,340
Bronx,2016-06-25,Saturday,1,29
Brooklyn,2016-06-22,Wednesday,12,126
Queens,2016-06-25,Saturday,6,533
EWR,2016-06-24,Friday,15,1
Brooklyn,2016-06-21,Tuesday,22,539
EWR,2016-06-26,Sunday,11,2
Manhattan,2016-06-24,Friday,15,15024
Queens,2016-06-25,Saturday,21,1122
Bronx,2016-06-23,Thursday,16,10
Queens,2016-06-24,Friday,4,208
Staten Island,2016-06-22,Wednesday,15,1
EWR,2016-06-26,Sunday,16,3
Queens,2016-06-26,Sunday,3,333
Queens,2016-06-26,Sunday,7,524
Queens,2016-06-24,Friday,5,330
Queens,2016-06-21,Tuesday,15,1020
Manhattan,2016-06-24,Friday,8,17784
Manhattan,2016-06-21,Tuesday,9,17540
Bronx,2016-06-26,Sunday,14,14
Manhattan,2016-06-23,Thursday,11,17004
Bronx,2016-06-23,Thursday,15,7
Bronx,2016-06-23,Thursday,3,11
Queens,2016-06-23,Thursday,5,314
Manhattan,2016-06-20,Monday,2,2542
Queens,2016-06-22,Wednesday,1,388
Brooklyn,2016-06-20,Monday,5,121
Bronx,2016-06-25,Saturday,11,12
Bronx,2016-06-22,Wednesday,7,9
EWR,2016-06-26,Sunday,12,2
Manhattan,2016-06-24,Friday,0,15269
Staten Island,2016-06-26,Sunday,15,1
Queens,2016-06-23,Thursday,22,1149
Manhattan,2016-06-26,Sunday,19,13512
Brooklyn,2016-06-21,Tuesday,15,112
Brooklyn,2016-06-25,Saturday,22,619
Bronx,2016-06-24,Friday,12,11
Brooklyn,2016-06-24,Friday,12,156
Staten Island,2016-06-24,Friday,6,1
Bronx,2016-06-20,Monday,16,9
Bronx,2016-06-26,Sunday,13,14
Bronx,2016-06-22,Wednesday,19,11
Queens,2016-06-23,Thursday,10,888
Bronx,2016-06-22,Wednesday,13,15
EWR,2016-06-25,Saturday,11,1
EWR,2016-06-25,Saturday,5,3
Queens,2016-06-22,Wednesday,21,1306
Manhattan,2016-06-26,Sunday,15,13675
Manhattan,2016-06-26,Sunday,20,12691
Manhattan,2016-06-23,Thursday,12,17175
Manhattan,2016-06-20,Monday,17,17230
Staten Island,2016-06-24,Friday,23,1
EWR,2016-06-22,Wednesday,19,3
EWR,2016-06-22,Wednesday,5,2
Queens,2016-06-23,Thursday,3,152
EWR,2016-06-20,Monday,8,1
Manhattan,2016-06-24,Friday,3,4540
Staten Island,2016-06-25,Saturday,10,3
EWR,2016-06-21,Tuesday,16,3
Manhattan,2016-06-23,Thursday,22,21391
Bronx,2016-06-24,Friday,8,8
EWR,2016-06-21,Tuesday,18,2
Manhattan,2016-06-24,Friday,12,16909
Brooklyn,2016-06-23,Thursday,4,127
Manhattan,2016-06-22,Wednesday,23,16555
EWR,2016-06-21,Tuesday,7,2
Queens,2016-06-22,Wednesday,20,1244
Manhattan,2016-06-23,Thursday,17,17792
Manhattan,2016-06-20,Monday,18,20343
EWR,2016-06-23,Thursday,19,1
Manhattan,2016-06-26,Sunday,2,13863
EWR,2016-06-23,Thursday,16,2
Queens,2016-06-24,Friday,20,1359
Bronx,2016-06-24,Friday,4,13
Manhattan,2016-06-21,Tuesday,10,15711
Queens,2016-06-24,Friday,19,1311
Manhattan,2016-06-22,Wednesday,11,17591
Staten Island,2016-06-21,Tuesday,7,1
EWR,2016-06-20,Monday,16,5
Manhattan,2016-06-22,Wednesday,0,9650
EWR,2016-06-23,Thursday,11,4
EWR,2016-06-21,Tuesday,9,1
Brooklyn,2016-06-24,Friday,8,308
Queens,2016-06-22,Wednesday,9,874
Queens,2016-06-20,Monday,19,1239
Manhattan,2016-06-25,Saturday,22,20164
Queens,2016-06-26,Sunday,5,273
Manhattan,2016-06-21,Tuesday,11,15734
EWR,2016-06-25,Saturday,8,3
Bronx,2016-06-26,Sunday,2,21
Queens,2016-06-24,Friday,2,499
Queens,2016-06-20,Monday,2,177
Brooklyn,2016-06-22,Wednesday,21,441
Bronx,2016-06-20,Monday,5,18
Brooklyn,2016-06-25,Saturday,4,522
Bronx,2016-06-25,Saturday,23,21
Manhattan,2016-06-20,Monday,9,16037
EWR,2016-06-26,Sunday,18,4
Bronx,2016-06-20,Monday,1,19
Queens,2016-06-20,Monday,5,418
Manhattan,2016-06-26,Sunday,3,10813
Manhattan,2016-06-22,Wednesday,6,9111
Brooklyn,2016-06-20,Monday,23,373
Brooklyn,2016-06-26,Sunday,4,506
EWR,2016-06-21,Tuesday,15,2
EWR,2016-06-24,Friday,9,1
EWR,2016-06-24,Friday,3,2
Brooklyn,2016-06-21,Tuesday,12,93
Bronx,2016-06-21,Tuesday,2,8
Brooklyn,2016-06-26,Sunday,16,187
Brooklyn,2016-06-22,Wednesday,6,176
Queens,2016-06-21,Tuesday,9,776
Bronx,2016-06-24,Friday,22,42
Bronx,2016-06-23,Thursday,19,8
Queens,2016-06-24,Friday,23,1279
Brooklyn,2016-06-22,Wednesday,18,188
Bronx,2016-06-25,Saturday,6,12
Brooklyn,2016-06-20,Monday,2,111
Queens,2016-06-22,Wednesday,18,1166
Manhattan,2016-06-25,Saturday,9,12729
